S.No,Molecule SMILE,PCE
114,N#CC(=Cc1ccc(s1)c1ccc2c(c1)c1ccccc1n2CC)C(=O)O,1.12
116,C(#N)/C(/C(=O)O)=C\C=1SC(=CC1)C=1C=CC=2N(C3=CC=C(C=C3SC2C1)C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC,4.52
117,CSC1=CC=C(C=C1)C=1C=C2SC=3C=C(C=CC3N(C2=CC1)CCCCCCOC1=CC=C(C=C1)N1C2=CC=C(C=C2SC=2C=C(C=CC12)C1=CC=C(S1)/C=C(/C(=O)O)\C#N)C1=CC=C(C=C1)OCCCCCCN1C2=CC=C(C=C2SC=2C=C(C=CC12)C=1SC(=CC1)\C=C(/C#N)\C(=O)O)C1=CC=C(C=C1)SC)C=1SC(=CC1)\C=C(/C#N)\C(=O)O,6.09
118,COC1=CC=C(C=C1)C=1C=C2SC=3C=C(C=CC3N(C2=CC1)CCCCCCOC1=CC=C(C=C1)N1C2=CC=C(C=C2SC=2C=C(C=CC12)C1=CC=C(S1)/C=C(/C(=O)O)\C#N)C1=CC=C(C=C1)OCCCCCCN1C2=CC=C(C=C2SC=2C=C(C=CC12)C=1SC(=CC1)\C=C(/C#N)\C(=O)O)C1=CC=C(C=C1)OC)C=1SC(=CC1)\C=C(/C#N)\C(=O)O,5.65
119,CC1=CC=C(C=C1)C=1C=C2SC=3C=C(C=CC3N(C2=CC1)CCCCCCOC1=CC=C(C=C1)N1C2=CC=C(C=C2SC=2C=C(C=CC12)C1=CC=C(S1)/C=C(/C(=O)O)\C#N)C1=CC=C(C=C1)OCCCCCCN1C2=CC=C(C=C2SC=2C=C(C=CC12)C=1SC(=CC1)\C=C(/C#N)\C(=O)O)C1=CC=C(C=C1)C)C=1SC(=CC1)\C=C(/C#N)\C(=O)O,5.21
120,CCCCCCCCOc1ccc(cc1)c1ccc2c(c1)Sc1c(N2CC)ccc(c1)/C=C(/C(=O)O)\C#N,6.32
121,CCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)O,5.23
122,CCCCCCCCOc1ccc(cc1)N1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)/C=C(/C(=O)O)\C#N,6.82
123,CCCCCCCCOc1ccc(cc1)N1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1cccs1,5.12
124,CCCCCCCCOc1ccc(cc1)N1c2ccccc2Sc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N,6.34
125,CCCCN1c2ccc(cc2Sc2c1cc(SC)cc2)/C=C(/C(=O)O)\C#N,6.53
126,CCCCN1c2ccc(cc2Sc2c1cc(SC)cc2)/C=C/c1ccc(s1)/C=C(/C(=O)O)\C#N,7.44
127,CCCCCCOc1ccc(cc1)c1ccc2c(c1)Sc1c(N2CC)ccc(c1)/C=C(/C(=O)O)\C#N,6.87
128,CCCCCCOc1ccc(cc1)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,8.18
129,CCCCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCC,8.08
130,CCCCCCCCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCC,7.57
131,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)c1ccccc1n2CCCCCC,6.72
132,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)c1ccccc1C2(CCCCCC)CCCCCC,6.13
133,CCCCCCn1c2ccccc2c2c1cc(cc2)N1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N,5.12
134,CCCCCCC1(CCCCCC)c2cc(ccc2c2c1cccc2)N1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N,3.98
135,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)C=C(c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)c1ccc(cc1)N1c2ccccc2Sc2c1cccc2,6.55
137,CCCCCCn1c2ccc(cc2c2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)C=C(c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)c1ccc(cc1)N1c2ccccc2Sc2c1cccc2,2.69
138,CCCCCCc1sc(c2c1OCCO2)c1sc(c2c1OCCO2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,2.24
139,CCCCCCc1sc(c2c1OCCO2)c1ccc(s1)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,5.62
140,CCCCCCc1ccc(s1)c1ccc(s1)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,7.87
141,CCCCCCc1sc(c2c1OCCO2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,7.98
142,CCCCCCc1ccc(s1)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,8.07
143,CCCCCCCCOc1ccc(cc1)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,5.73
144,CCCCCCCCCCCCOc1ccc(cc1)N1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N,4.54
145,CCCCCCCCOc1ccc(cc1)N1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N,4.79
146,COc1ccc(cc1)N1c2ccc(cc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N,4.53
147,CCCCCCCCCCCCC1(CCCCCCCCCCCC)c2cc(sc2c2c1cc(s2)c1ccc2c(c1)Sc1c(N2CCCC)cccc1)/C=C(/C(=O)O)\C#N,7
148,N#C/C(=C/c1ccc(s1)/C=C/c1ccc2c(c1)Sc1c(N2)cc(cc1)SC)/C(=O)O,7.4
149,CCCCCCOc1c2cc(ccc2c(c2c1ccc(c2)/C=C(/C(=O)O)\C#N)OCCCCCC)N(c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1)c1ccccc1,2.77
