S.No,Molecule SMILE,PCE
62,OC(=O)c1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1cccs1)/c1cccs1)/c1cccs1,0.2
63,Cc1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c\2/cc/c(=C(/C3=N/C(=C(\c4[nH]c1cc4)/c1ccc(cc1)C(=O)O)/C=C3)\c1ccc(cc1)C)/[nH]2)/c1ccc(cc1)C,0.42
64,Cc1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c\2/cc/c(=C(/C3=N/C(=C(\c4[nH]c1cc4)/c1cccc(c1)C(=O)O)/C=C3)\c1ccc(cc1)C)/[nH]2)/c1ccc(cc1)C,0.71
65,Cc1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1ccc(cc1)C)/c1cccc(c1)C(=O)O)/c1ccc(cc1)C,4.17
66,CCCCCCc1c(C#C/C/2=c/3\cc/c/4=C(\c5ccc(cc5)N(c5ccccc5)c5ccccc5)/C5=N/C(=C(\c6n([Zn]n34)c(/C(=C/3\N=C2C=C3)/c2ccc(cc2)N(c2ccccc2)c2ccccc2)cc6)/c2ccc(cc2)N(c2ccccc2)c2ccccc2)/C=C5)sc(c1CCCCCC)/C=C(/C(=O)O)\C#N,6
67,CCCCCCc1c(C#C/C/2=c/3\cc/c/4=C(\c5ccc(cc5)N(c5ccccc5)c5ccccc5)/C5=N/C(=C(\c6n([Zn]n34)c(/C(=C/3\N=C2C=C3)/c2ccc(cc2)N(c2ccccc2)c2ccccc2)cc6)/c2ccc(cc2)N(c2ccccc2)c2ccccc2)/C=C5)sc(c1CCCCCC)/C=C/c1sc(c(c1CCCCCC)CCCCCC)/C=C(/C(=O)O)\C#N,4.1
70,OC(=O)c1ccc(cc1)C#C/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C,6.36
71,CCCCCCc1ccc(cc1)N(c1ccc(cc1)CCCCCC)c1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/C#Cc1ccc(cc1)C(=O)O)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C,5.6
72,OC(=O)C(=C/C=C/C1=C/C/2=C(\c3ccccc3)/c3ccc4n3[Zn]n3/c(=C(\C1=N2)/c1ccccc1)/cc/c/3=C(/C1=N/C(=C\4/c2ccccc2)/C=C1)\c1ccccc1)C(=O)O,5.1
74,CCc1ccc(cc1)/C/1=C\2/N=C(C(=C2)/C=C/C=C(C(=O)O)C(=O)O)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1ccc(cc1)CC)/c1ccc(cc1)CC)/c1ccc(cc1)CC,5.8
75,CCCCc1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=C(C(=N1)/C(=c\3/cc2)/c1ccc(cc1)CCCC)/C=C/C=C(C(=O)O)C(=O)O)/c1ccc(cc1)CCCC)/c1ccc(cc1)CCCC,6.4
